objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,2016 Lantern parate.jpg,,,UP Diliman Lantern Parade 2016 - CMVG-CSC,,2016-12-16,Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG) and Catholic Students Community (CSC) during the 2016 UP Diliman Lantern Parade. This was taken during the parade.,universities;UP;UP Diliman;Lantern Parade;Aademic Oval;UP Diliman Campus Ministry Volunteer Group;CMVG;UP Catholic Students Community; UP CSC,"UP Diliman, Quezon City",14.65493525,121.0641597,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,2016 Lantern.jpg,,,UP Diliman Lantern Parade 2016 - CMVG-CSC - Lantern,,2016-12-16,Photograph of the Angel lantern of the UP Diliman Campus Ministry Volunteer Group (CMVG) and Catholic Students Community (CSC) during the 2016 UP Diliman Lantern Parade. Taken on the UP Parish of the Holy Sacrifice grounds.,universities;UP;UP Diliman;Lantern Parade;Aademic Oval;UP Diliman Campus Ministry Volunteer Group;CMVG;UP Catholic Students Community; UP CSC,"UP Diliman, Quezon City",14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,2017-09 Acquaintance Day.jpeg,,,UP Diliman CMVG 2017 Acquaintance Day,,2017-10-04,Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG) during their Acquaintance Party for the First Semester of AY 2017=2018,universities;UP;UP Diliman;UP Diliman Campus Ministry Volunteer Group;CMVG; UP Parish of the Holy Sacrifice,,14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,2017-09 Harana Kay Maria.jpg,,,UP Parish of the Holy Sacrifice - Harana Kay Maria 2017,,2017-09-07,"Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG) singing during the Harana Kay Maria concert of the UP Parish of the Holy Sacrifice. Taken on September 7, 2017.",universities;UP;UP Diliman;UP Diliman Campus Ministry Volunteer Group;CMVG; UP Parish of the Holy Sacrifice,,14.65883802,121.0707580,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,2017-10-21 Pencil drive.jpg,,,UP Diliman CMVG - Pencil Drive for UPCAT 2018,,2017-10-21,"Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG)'s Pencil Drive Donations from the 2018 UPCAT takers. Taken of October 21, 2017",universities;UP;UP Diliman;UP Diliman Campus Ministry Volunteer Group;CMVG; UP Parish of the Holy Sacrifice;UPCAT 2018,,14.65883802,121.0707580,,,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,2017-10-22 upcat.jpeg,,,UP Diliman CMVG - Pencil Drive from UPCAT 2018,,2017-10-22,Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG)'s Pencil Drive Donations from the 2018 UPCAT takers. The group filled 10 boxes of pencils to be donated to the UP Parish of the Holy Sacrifice Outreach Pre-school,universities;UP;UP Diliman;UP Diliman Campus Ministry Volunteer Group;CMVG; UP Parish of the Holy Sacrifice;UPCAT 2018,,14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,2017-12 Lantern Parade.jpeg,,,UP Diliman Lantern Parade 2017 - CMVG-CSC,,2017-12-15,Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG) and Catholic Students Community (CSC) during the 2017 UP Diliman Lantern Parade.,universities;UP;UP Diliman;Lantern Parade;Aademic Oval;UP Diliman Campus Ministry Volunteer Group;CMVG;UP Catholic Students Community; UP CSC,,14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,2018 - Fresh Forward.jpeg,,,UP Diliman CMVG-CSC - Fresh Forward 2018,,2018-08-05,Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG) and Catholic Students Community (CSC) during the 2018 Fresh Forward Program for 2018 UP Diliman Freshies.,universities;UP;UP Diliman;UP Diliman Campus Ministry Volunteer Group;CMVG; UP Parish of the Holy Sacrifice;UPCAT 2018;UP Catholic Students Community; UP CSC,,14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,2018-11 CDC.jpeg,,,UAAP Cheerdance Competition 2018 - UP Card,,2018-11-17,Photograph of a sign supporting the UP Pep Squad during the 2018 UAAP Cheerdance Competition held at MOA Arena.,universities;UP;UP Diliman;UAAP;UAAP Cheerdance Competition; UAAP CDC 2018; UAAP Cheerdance Competition 2018,,14.53228688,120.9837168,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,2018-12 lantern.jpeg,,,UP Diliman Lantern Parade 2018 - CMVG-CSC,,2018-12-17,Photograph of the UP Diliman Campus Ministry Volunteer Group (CMVG) and Catholic Students Community (CSC) during the 2018 UP Diliman Lantern Parade.,universities;UP;UP Diliman;Lantern Parade;Aademic Oval;UP Diliman Campus Ministry Volunteer Group;CMVG;UP Catholic Students Community; UP CSC,,14.65883802,121.0707580,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
